Pulse Height /electron (V);

9.617189446e-10

Npe*G_PMT  t_b (ns)  t_r (ns)  t_f (ns);

3.2e+06    -6.585    2.445    3.845
3.3e+06    -6.585    2.115    4.205
3.4e+06    -6.585    1.885    4.465
3.5e+06    -6.585    1.695    4.685
3.6e+06    -6.585    1.535    4.875
3.7e+06    -6.585    1.395    5.045
3.8e+06    -6.585    1.275    5.205
3.9e+06    -6.585    1.155    5.345
4e+06    -6.585    1.055    5.485
4.1e+06    -6.585    0.965    5.605
4.2e+06    -6.585    0.875    5.725
4.3e+06    -6.585    0.785    5.835
4.4e+06    -6.585    0.705    5.935
4.5e+06    -6.585    0.635    6.035
4.6e+06    -6.585    0.565    6.135
4.7e+06    -6.585    0.505    6.225
4.8e+06    -6.585    0.435    6.315
4.9e+06    -6.585    0.375    6.405
5e+06    -6.585    0.325    6.485
5.1e+06    -6.585    0.265    6.565
5.2e+06    -6.585    0.215    6.635
5.3e+06    -6.585    0.165    6.715
5.4e+06    -6.585    0.115    6.785
5.5e+06    -6.585    0.065    6.855
5.6e+06    -6.585    0.025    6.925
5.7e+06    -6.585    -0.025    6.985
5.8e+06    -6.585    -0.065    7.055
5.9e+06    -6.585    -0.105    7.115
6e+06    -6.585    -0.145    7.175
6.1e+06    -6.585    -0.185    7.235
6.2e+06    -6.585    -0.225    7.295
6.3e+06    -6.585    -0.255    7.345
6.4e+06    -6.585    -0.295    7.405
6.5e+06    -6.585    -0.325    7.455
6.6e+06    -6.585    -0.365    7.505
6.7e+06    -6.585    -0.395    7.565
6.8e+06    -6.585    -0.425    7.615
6.9e+06    -6.585    -0.455    7.665
7e+06    -6.585    -0.485    7.715
7.1e+06    -6.585    -0.515    7.755
7.2e+06    -6.585    -0.545    7.805
7.3e+06    -6.585    -0.575    7.855
7.4e+06    -6.585    -0.605    7.895
7.5e+06    -6.585    -0.625    7.945
7.6e+06    -6.585    -0.655    7.985
7.7e+06    -6.585    -0.685    8.025
7.8e+06    -6.585    -0.705    8.065
7.9e+06    -6.585    -0.735    8.105
8e+06    -6.585    -0.755    8.155
8.1e+06    -6.585    -0.775    8.195
8.2e+06    -6.585    -0.805    8.225
8.3e+06    -6.585    -0.825    8.265
8.4e+06    -6.585    -0.845    8.305
8.5e+06    -6.585    -0.865    8.345
8.6e+06    -6.585    -0.895    8.385
8.7e+06    -6.585    -0.915    8.415
8.8e+06    -6.585    -0.935    8.455
8.9e+06    -6.585    -0.955    8.485
9e+06    -6.585    -0.975    8.525
9.1e+06    -6.585    -0.995    8.555
9.2e+06    -6.585    -1.015    8.595
9.3e+06    -6.585    -1.035    8.625
9.4e+06    -6.585    -1.055    8.655
9.5e+06    -6.585    -1.065    8.695
9.6e+06    -6.585    -1.085    8.725
9.7e+06    -6.585    -1.105    8.755
9.8e+06    -6.585    -1.125    8.785
9.9e+06    -6.585    -1.145    8.815
1e+07    -6.585    -1.155    8.845
1.1e+07    -6.585    -1.315    9.135
1.2e+07    -6.585    -1.455    9.395
1.3e+07    -6.585    -1.585    9.635
1.4e+07    -6.585    -1.695    9.845
1.5e+07    -6.585    -1.795    10.04
1.6e+07    -6.585    -1.885    10.22
1.7e+07    -6.585    -1.975    10.4
1.8e+07    -6.585    -2.055    10.56
1.9e+07    -6.585    -2.125    10.71
2e+07    -6.585    -2.195    10.85
2.1e+07    -6.585    -2.255    10.99
2.2e+07    -6.585    -2.315    11.11
2.3e+07    -6.585    -2.375    11.22
2.4e+07    -6.585    -2.425    11.35
2.5e+07    -6.585    -2.475    11.46
2.6e+07    -6.585    -2.525    11.56
2.7e+07    -6.585    -2.575    11.67
2.8e+07    -6.585    -2.615    11.76
2.9e+07    -6.585    -2.655    11.86
3e+07    -6.585    -2.695    11.95
3.1e+07    -6.585    -2.735    12.03
3.2e+07    -6.585    -2.775    12.12
3.3e+07    -6.585    -2.805    12.2
3.4e+07    -6.585    -2.845    12.28
3.5e+07    -6.585    -2.875    12.35
3.6e+07    -6.585    -2.905    12.43
3.7e+07    -6.585    -2.945    12.5
3.8e+07    -6.585    -2.975    12.57
3.9e+07    -6.585    -2.995    12.63
4e+07    -6.585    -3.025    12.7
4.1e+07    -6.585    -3.055    12.77
4.2e+07    -6.585    -3.085    12.83
4.3e+07    -6.585    -3.105    12.88
4.4e+07    -6.585    -3.135    12.95
4.5e+07    -6.585    -3.155    13.01
4.6e+07    -6.585    -3.185    13.06
4.7e+07    -6.585    -3.205    13.12
4.8e+07    -6.585    -3.225    13.17
4.9e+07    -6.585    -3.245    13.22
5e+07    -6.585    -3.265    13.28
5.1e+07    -6.585    -3.295    13.33
5.2e+07    -6.585    -3.315    13.38
5.3e+07    -6.585    -3.335    13.43
5.4e+07    -6.585    -3.355    13.47
5.5e+07    -6.585    -3.365    13.52
5.6e+07    -6.585    -3.385    13.57
5.7e+07    -6.585    -3.405    13.61
5.8e+07    -6.585    -3.425    13.66
5.9e+07    -6.585    -3.445    13.7
6e+07    -6.585    -3.455    13.75
6.1e+07    -6.585    -3.475    13.79
6.2e+07    -6.585    -3.495    13.83
6.3e+07    -6.585    -3.505    13.87
6.4e+07    -6.585    -3.525    13.91
6.5e+07    -6.585    -3.545    13.95
6.6e+07    -6.585    -3.555    13.99
6.7e+07    -6.585    -3.575    14.03
6.8e+07    -6.585    -3.585    14.06
6.9e+07    -6.585    -3.605    14.1
7e+07    -6.585    -3.615    14.13
7.1e+07    -6.585    -3.625    14.17
7.2e+07    -6.585    -3.645    14.21
7.3e+07    -6.585    -3.655    14.24
7.4e+07    -6.585    -3.665    14.28
7.5e+07    -6.585    -3.685    14.31
7.6e+07    -6.585    -3.695    14.34
7.7e+07    -6.585    -3.705    14.38
7.8e+07    -6.585    -3.725    14.41
7.9e+07    -6.585    -3.735    14.44
